,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
2391,H,0.0,0.08333333333333333,0.75,1.4166666666666667,D,D,D,L,D,W
2392,NH,-1.0,0.08333333333333333,0.9166666666666666,1.0,L,W,L,D,D,D
2393,H,-0.25,-0.08333333333333333,0.75,1.0,D,L,L,L,D,D
2394,H,0.5833333333333334,-0.3333333333333333,1.6666666666666667,1.3333333333333333,L,W,W,W,L,D
2395,H,1.0,-0.5833333333333334,1.9166666666666667,0.6666666666666666,W,W,W,L,D,D
2396,H,1.25,-0.16666666666666666,2.1666666666666665,1.25,W,L,W,D,W,D
2397,D,0.0,-0.5,0.8333333333333334,1.0833333333333333,L,D,W,L,D,W
2398,H,0.25,0.5,1.5833333333333333,1.75,D,W,D,W,L,L
2399,D,-0.08333333333333333,0.75,0.75,1.8333333333333333,L,W,W,W,L,W
2400,D,0.6923076923076923,-0.23076923076923078,1.7692307692307692,0.9230769230769231,D,W,W,D,W,L
2401,H,0.07692307692307693,0.07692307692307693,0.9230769230769231,1.6923076923076923,L,W,L,D,L,D
2402,D,-0.3076923076923077,1.1538461538461537,0.9230769230769231,2.230769230769231,W,W,D,W,L,W
2403,H,0.07692307692307693,-1.1538461538461537,1.1538461538461537,0.8461538461538461,L,L,L,L,D,L
2404,H,0.23076923076923078,-1.2307692307692308,1.3076923076923077,0.5384615384615384,L,L,D,L,L,L
2405,H,0.23076923076923078,-0.15384615384615385,1.1538461538461537,0.8461538461538461,W,D,W,L,D,W
2406,H,-0.46153846153846156,-0.07692307692307693,0.6153846153846154,0.9230769230769231,L,W,W,D,L,D
2407,D,0.46153846153846156,-0.07692307692307693,1.6153846153846154,0.7692307692307693,L,D,W,L,W,W
2408,H,-0.38461538461538464,0.46153846153846156,1.0769230769230769,1.7692307692307692,D,W,D,L,L,W
2409,D,-0.3076923076923077,0.9230769230769231,1.2307692307692308,2.0,L,W,W,W,W,W
2410,NH,0.35714285714285715,0.5,1.6428571428571428,1.5714285714285714,L,D,W,L,L,W
2411,D,0.07142857142857142,0.6428571428571429,1.5714285714285714,1.7142857142857142,L,D,W,D,D,W
2412,D,-1.1428571428571428,0.07142857142857142,0.5,1.2857142857142858,L,W,L,L,L,L
2413,H,-0.9285714285714286,-0.42857142857142855,0.7857142857142857,0.9285714285714286,L,D,L,W,L,D
2414,H,-0.14285714285714285,0.14285714285714285,0.9285714285714286,1.4285714285714286,D,W,W,L,D,D
2415,H,0.9285714285714286,0.14285714285714285,1.9285714285714286,1.2857142857142858,D,W,W,W,W,W
2416,NH,-0.2857142857142857,-0.14285714285714285,0.7857142857142857,1.2142857142857142,L,D,D,L,L,W
2417,H,0.07142857142857142,-0.5,0.8571428571428571,1.2142857142857142,L,W,W,D,D,D
2418,NH,1.0,-0.35714285714285715,2.142857142857143,0.7857142857142857,D,W,W,L,W,W
2419,H,0.0,0.0,0.7857142857142857,1.0714285714285714,D,W,D,L,L,L
2420,H,-0.26666666666666666,-0.06666666666666667,0.8666666666666667,1.2666666666666666,L,D,D,W,W,L
2421,H,0.7333333333333333,-0.06666666666666667,1.6666666666666667,1.0,D,W,D,L,D,W
2422,NH,-0.4,-0.8,0.9333333333333333,0.9333333333333333,W,W,W,L,L,L
2423,H,0.5333333333333333,-0.2,1.6666666666666667,1.0666666666666667,W,W,D,D,L,W
2424,NH,-0.6,1.0,1.1333333333333333,2.0,L,W,W,D,D,W
2425,H,0.0,-1.2,1.3333333333333333,0.5333333333333333,W,D,D,L,L,L
2426,H,0.2,-0.13333333333333333,1.5333333333333334,0.9333333333333333,D,W,L,D,W,D
2427,NH,-0.2,0.5333333333333333,1.0,1.5333333333333334,L,L,W,L,L,W
2428,H,0.2,-0.3333333333333333,1.3333333333333333,0.7333333333333333,L,L,W,L,L,D
2429,H,0.3333333333333333,0.7333333333333333,1.2,2.0,L,L,W,D,W,W
2430,NH,-0.125,0.375,1.1875,1.3125,L,W,D,L,W,W
2431,NH,-1.1875,0.75,0.5,1.75,L,W,D,D,L,D
2432,D,-0.0625,0.0,0.9375,1.4375,L,W,W,W,L,D
2433,D,-0.75,-0.5625,1.0625,1.0625,W,L,W,L,L,W
2434,H,-0.125,-0.1875,1.0,0.875,L,L,W,W,D,D
2435,H,1.1875,-0.0625,2.0625,1.4375,W,W,W,L,D,W
2436,H,-0.1875,0.375,0.6875,1.75,L,W,L,W,L,D
2437,H,-0.125,-0.5,1.0,0.875,W,L,L,W,D,W
2438,H,0.5625,0.125,1.625,1.625,W,W,L,D,L,L
2439,H,0.75,-0.25,1.875,0.9375,L,L,L,L,D,W
2440,D,0.35294117647058826,-0.11764705882352941,1.411764705882353,1.1176470588235294,W,W,W,W,L,L
2441,D,-0.47058823529411764,-1.1176470588235294,0.8235294117647058,0.47058823529411764,L,L,L,L,W,D
2442,D,0.35294117647058826,-0.058823529411764705,1.6470588235294117,0.9411764705882353,L,D,W,L,W,W
2443,NH,-0.5882352941176471,0.7647058823529411,1.0588235294117647,1.9411764705882353,D,W,L,L,L,L
2444,H,0.11764705882352941,-0.23529411764705882,1.411764705882353,1.1176470588235294,D,L,W,L,W,D
2445,H,0.17647058823529413,-0.17647058823529413,1.5294117647058822,1.1176470588235294,L,W,W,L,D,W
2446,H,-0.11764705882352941,1.0588235294117647,0.8235294117647058,2.1176470588235294,L,W,L,W,W,W
2447,H,-0.17647058823529413,-0.23529411764705882,0.8823529411764706,0.8235294117647058,L,W,L,L,L,L
2448,H,0.8235294117647058,-0.8235294117647058,1.8235294117647058,1.0588235294117647,W,D,W,W,D,W
2449,NH,-0.11764705882352941,0.5882352941176471,1.3529411764705883,1.7058823529411764,L,W,W,W,L,L
2450,H,0.0,-0.2222222222222222,0.9444444444444444,1.0,D,W,D,L,L,L
2451,NH,-0.2777777777777778,-0.3888888888888889,1.0555555555555556,0.8333333333333334,L,D,L,L,L,L
2452,NH,-0.8333333333333334,0.16666666666666666,1.0,1.5,L,W,D,D,W,W
2453,H,0.6111111111111112,-0.2222222222222222,1.7777777777777777,1.0555555555555556,W,L,W,W,W,L
2454,H,0.3888888888888889,-0.16666666666666666,1.3888888888888888,1.2777777777777777,D,L,W,L,W,W
2455,D,1.0,0.16666666666666666,2.0,1.6111111111111112,L,W,W,L,W,W
2456,H,-0.1111111111111111,-0.2222222222222222,0.7777777777777778,0.9444444444444444,L,W,W,L,L,L
2457,H,-1.0,0.2777777777777778,0.5,1.6111111111111112,D,D,L,L,L,W
2458,H,-0.05555555555555555,-0.6111111111111112,1.1111111111111112,1.0,D,L,W,D,W,L
2459,D,0.7222222222222222,0.7777777777777778,2.0,1.8888888888888888,W,W,W,W,L,W
2460,NH,-0.47368421052631576,0.47368421052631576,0.9473684210526315,1.4736842105263157,W,W,D,D,L,W
2461,D,-0.21052631578947367,-0.7894736842105263,0.9473684210526315,0.9473684210526315,L,L,W,L,L,D
2462,H,-0.10526315789473684,0.8421052631578947,1.0,1.9473684210526316,L,D,L,L,W,W
2463,D,0.7368421052631579,-0.10526315789473684,1.8421052631578947,0.8947368421052632,D,W,W,L,W,W
2464,D,-0.15789473684210525,-0.2631578947368421,1.2105263157894737,1.0,L,L,L,L,L,L
2465,H,0.3157894736842105,-0.10526315789473684,1.5263157894736843,1.2105263157894737,L,W,D,D,L,W
2466,NH,-0.6842105263157895,-0.8421052631578947,0.9473684210526315,0.631578947368421,L,W,L,D,D,L
2467,NH,0.10526315789473684,0.7368421052631579,1.5789473684210527,1.9473684210526316,W,D,W,W,D,W
2468,D,0.15789473684210525,0.0,1.5789473684210527,1.0526315789473684,D,W,W,D,L,D
2469,H,-0.15789473684210525,0.5263157894736842,0.8947368421052632,1.8421052631578947,L,W,W,W,L,W
2470,H,-0.75,-0.25,0.75,0.95,W,D,W,L,D,W
2471,H,-0.05,-0.2,1.15,1.0,L,W,W,L,D,W
2472,H,0.05,-0.15,1.05,0.9,D,D,W,W,D,L
2473,NH,-0.35,0.4,1.0,1.6,D,W,L,L,L,D
2474,H,-0.65,-0.2,0.95,1.1,D,W,L,L,L,L
2475,H,0.85,0.45,1.85,1.75,L,L,D,W,L,W
2476,D,-0.45,-0.15,0.9,1.2,L,D,W,L,D,L
2477,H,0.8,0.05,2.0,1.55,W,D,D,D,W,W
2478,H,0.15,-0.7,1.5,0.9,L,L,W,L,W,L
2479,H,0.55,0.6,1.55,1.8,W,D,W,D,D,W
2480,NH,-0.3333333333333333,-0.3333333333333333,0.9047619047619048,0.9047619047619048,L,D,D,L,L,W
2481,NH,0.0,0.8095238095238095,1.1428571428571428,2.0476190476190474,W,W,D,W,W,D
2482,H,0.7142857142857143,0.0,1.7142857142857142,1.5714285714285714,L,W,D,L,D,W
2483,D,-0.14285714285714285,-0.6666666666666666,1.1904761904761905,0.8571428571428571,D,L,D,L,L,L
2484,H,0.5238095238095238,-0.7142857142857143,1.6666666666666667,1.0476190476190477,L,W,L,D,W,L
2485,NH,-0.19047619047619047,0.8571428571428571,0.8571428571428571,1.9047619047619047,L,W,D,L,W,D
2486,H,0.09523809523809523,-0.38095238095238093,1.4761904761904763,0.9523809523809523,L,L,D,D,D,L
2487,D,-0.19047619047619047,-0.047619047619047616,1.0476190476190477,1.2380952380952381,L,W,W,L,L,W
2488,NH,0.3333333333333333,0.5714285714285714,1.6666666666666667,1.619047619047619,W,W,W,W,L,W
2489,NH,-0.23809523809523808,-0.6666666666666666,0.9523809523809523,0.8571428571428571,L,W,W,W,L,W
2490,D,-0.6363636363636364,-0.18181818181818182,0.9545454545454546,0.8181818181818182,W,L,W,L,W,D
2491,H,0.045454545454545456,0.0,1.2272727272727273,1.5454545454545454,D,W,W,L,L,D
2492,NH,-0.7272727272727273,-0.18181818181818182,1.0,0.9090909090909091,L,L,W,L,D,W
2493,H,0.8636363636363636,-0.045454545454545456,1.9545454545454546,1.0909090909090908,W,L,W,W,L,D
2494,D,-0.3181818181818182,0.3181818181818182,1.0,1.5909090909090908,W,L,D,W,L,W
2495,H,0.8636363636363636,-0.2727272727272727,2.090909090909091,1.0454545454545454,W,D,W,L,W,W
2496,D,0.5454545454545454,0.5,1.6818181818181819,1.7272727272727273,W,W,W,L,W,L
2497,D,-0.3181818181818182,-0.13636363636363635,0.8636363636363636,1.1818181818181819,L,D,L,D,D,D
2498,D,-0.045454545454545456,-0.7272727272727273,1.0909090909090908,1.0,L,L,W,W,D,D
2499,NH,0.5,-0.3181818181818182,1.7272727272727273,0.9090909090909091,W,L,L,L,L,D
2500,H,0.9565217391304348,-0.7391304347826086,2.0,0.9565217391304348,W,D,W,W,W,W
2501,H,0.34782608695652173,-0.6521739130434783,1.565217391304348,0.8260869565217391,D,L,L,D,W,L
2502,H,-0.13043478260869565,-0.34782608695652173,1.0,1.0,W,D,L,W,L,D
2503,NH,0.6521739130434783,0.08695652173913043,1.6956521739130435,1.3043478260869565,L,W,W,D,L,W
2504,D,-0.17391304347826086,0.8260869565217391,0.8260869565217391,2.130434782608696,D,W,L,W,L,W
2505,NH,-0.043478260869565216,0.21739130434782608,1.4782608695652173,1.565217391304348,L,W,W,L,L,W
2506,D,-0.7391304347826086,-0.043478260869565216,0.9565217391304348,1.0434782608695652,D,L,W,L,W,W
2507,D,-0.30434782608695654,-0.2608695652173913,1.0,1.0,W,L,L,D,L,L
2508,H,-0.6956521739130435,-0.17391304347826086,0.9565217391304348,0.8260869565217391,L,D,L,L,W,L
2509,NH,-0.17391304347826086,0.6521739130434783,1.173913043478261,1.6956521739130435,D,L,D,W,D,L
2510,D,0.4583333333333333,-0.125,1.625,1.0833333333333333,D,W,D,W,W,L
